auction_name,auction_player,value,summary_id,date,price,grade,lot_number,auction_house,auction_seller,auction_type,cert,tag,fk_name,fk_url,fk_count,fk_category
topps,nba-basketball,$207.95,296533,4/13/2020,27.99,9,383460584374,eBay,4_sharp_corners,Best Offer,14948543,Average Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$207.95,296533,2/24/2020,3.25,4.5,383426013511,eBay,probstein123,Auction,45311238,Average Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$207.95,296533,12/30/2019,32.00,9,114024720057,eBay,bsatttu,Auction,19810382,Average Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$207.95,296533,9/21/2019,5.61,8,254359960274,eBay,chuckw99,Auction,42509876,Average Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$207.95,296533,6/25/2019,9.83,7,153533559863,eBay,ajcollectables2014,Auction,16551765,Average Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$207.95,296533,4/10/2019,120.46,10,362608438046,eBay,probstein123,Auction,41531412,Average Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$207.95,296533,3/13/2019,6.50,8,223433325428,eBay,tomdances,Auction,23352232,Average Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$207.95,296533,2/20/2019,209.99,10,253043698701,eBay,graded_psa_cards,Buy It Now,27092363,Average Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$207.95,296533,2/16/2019,26.00,9,113620319215,eBay,mintandcentered,Auction,41842106,Average Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$207.95,296533,1/26/2019,9.99,8,113598342443,eBay,patr_cond,Auction,28446547,Average Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$207.95,296533,8/30/2018,19.05,8,382549016147,eBay,probstein123,Auction,02347824,Average Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$207.95,296533,7/2/2018,19.03,9,302784207875,eBay,nutzaboutcards,Auction,28711685,Average Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$207.95,296533,6/29/2018,17.00,8,362367574510,eBay,tbh39,Best Offer,30043474,Average Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$207.95,296533,4/22/2018,8.13,8,323210216078,eBay,stevietroy,Auction,24040658,Average Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$207.95,296533,4/20/2018,33.00,9,362252792218,eBay,icaancards,Buy It Now,26025871,Average Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$207.95,296533,3/21/2018,12.00,8,362227854085,eBay,bbcexchange,Buy It Now,20590716,Average Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$207.95,296533,3/4/2018,17.98,8,362093661991,eBay,nwsportscards.com,Buy It Now,90426922,Average Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$207.95,296533,2/18/2018,6.75,8,253420395580,eBay,trw1313,Auction,17698429,Average Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$207.95,296533,1/27/2018,9.99,8,372200592082,eBay,crazykevster,Auction,28446547,Average Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$207.95,296533,1/3/2018,3.25,8,362197747165,eBay,teri781,Auction,28425696,Average Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$207.95,296533,12/4/2017,201.00,10,253212227886,eBay,sports-cards-forever,Best Offer,22595538,Average Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$207.95,296533,10/6/2017,29.99,9,361939660623,eBay,4_sharp_corners,Buy It Now,11425942,Average Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$207.95,296533,9/5/2017,2.60,8,253122987164,eBay,sports-cards-forever,Auction,24040658,Average Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$207.95,296533,8/17/2017,25.00,8,272767333406,eBay,allmaddensportcards2014,Buy It Now,30349140,Average Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$207.95,296533,6/8/2017,9.00,8,968,Sirius Sports Auctions,Sirius Sports Cards Auction # 187 - Ends 6/8/17,Auction,27286133,Average Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$207.95,296533,5/17/2017,7.99,7,371929411625,eBay,surfcitycards,Buy It Now,26704305,Average Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$207.95,296533,4/23/2017,12.10,9,352029898287,eBay,pwcc_auctions,Auction,81805965,Average Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$207.95,296533,2/21/2017,5.85,8,381966168050,eBay,probstein123,Auction,26890348,Average Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$207.95,296533,9/19/2016,10.50,9,401185797113,eBay,pwcc_auctions,Auction,26025871,Average Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$207.95,296533,11/16/2012,10.13,8,220,Sirius Sports Auctions,Sirius Sports Cards Auction # 68,Auction,40275161,Average Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$207.95,296533,8/18/2012,100.00,10,1040,"Memory Lane, Inc.",Historical Rarities,Auction,81556146,Average Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$224.50,296533,8/29/2020,40.00,9,183777330146,eBay,nhcardguys,Best Offer,27888603,SMR Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$224.50,296533,7/23/2020,224.50,10,143654273496,eBay,pwcc_auctions,Auction,22595538,SMR Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$224.50,296533,6/29/2020,19.95,8,373030003637,eBay,dhcards,Best Offer,44871166,SMR Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$224.50,296533,5/31/2020,16.00,8,123826789445,eBay,mrcrx33,Buy It Now,03715098,SMR Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$224.50,296533,5/21/2020,191.39,10,402257334039,eBay,pwcc_auctions,Auction,22595538,SMR Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$224.50,296533,5/13/2020,26.99,8,163946944426,eBay,mrcrx33,Buy It Now,03715098,SMR Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$224.50,296533,4/13/2020,27.99,9,383460584374,eBay,4_sharp_corners,Best Offer,14948543,SMR Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$224.50,296533,2/24/2020,3.25,4.5,383426013511,eBay,probstein123,Auction,45311238,SMR Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$224.50,296533,12/30/2019,32.00,9,114024720057,eBay,bsatttu,Auction,19810382,SMR Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$224.50,296533,9/21/2019,5.61,8,254359960274,eBay,chuckw99,Auction,42509876,SMR Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$224.50,296533,6/25/2019,9.83,7,153533559863,eBay,ajcollectables2014,Auction,16551765,SMR Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$224.50,296533,4/10/2019,120.46,10,362608438046,eBay,probstein123,Auction,41531412,SMR Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$224.50,296533,3/13/2019,6.50,8,223433325428,eBay,tomdances,Auction,23352232,SMR Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$224.50,296533,2/20/2019,209.99,10,253043698701,eBay,graded_psa_cards,Buy It Now,27092363,SMR Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$224.50,296533,2/16/2019,26.00,9,113620319215,eBay,mintandcentered,Auction,41842106,SMR Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$224.50,296533,1/26/2019,9.99,8,113598342443,eBay,patr_cond,Auction,28446547,SMR Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$224.50,296533,8/30/2018,19.05,8,382549016147,eBay,probstein123,Auction,02347824,SMR Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$224.50,296533,7/2/2018,19.03,9,302784207875,eBay,nutzaboutcards,Auction,28711685,SMR Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$224.50,296533,6/29/2018,17.00,8,362367574510,eBay,tbh39,Best Offer,30043474,SMR Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$224.50,296533,4/22/2018,8.13,8,323210216078,eBay,stevietroy,Auction,24040658,SMR Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$224.50,296533,4/20/2018,33.00,9,362252792218,eBay,icaancards,Buy It Now,26025871,SMR Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$224.50,296533,3/21/2018,12.00,8,362227854085,eBay,bbcexchange,Buy It Now,20590716,SMR Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$224.50,296533,3/4/2018,17.98,8,362093661991,eBay,nwsportscards.com,Buy It Now,90426922,SMR Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$224.50,296533,2/18/2018,6.75,8,253420395580,eBay,trw1313,Auction,17698429,SMR Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$224.50,296533,1/27/2018,9.99,8,372200592082,eBay,crazykevster,Auction,28446547,SMR Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$224.50,296533,1/3/2018,3.25,8,362197747165,eBay,teri781,Auction,28425696,SMR Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$224.50,296533,12/4/2017,201.00,10,253212227886,eBay,sports-cards-forever,Best Offer,22595538,SMR Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$224.50,296533,10/6/2017,29.99,9,361939660623,eBay,4_sharp_corners,Buy It Now,11425942,SMR Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$224.50,296533,9/5/2017,2.60,8,253122987164,eBay,sports-cards-forever,Auction,24040658,SMR Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$224.50,296533,8/17/2017,25.00,8,272767333406,eBay,allmaddensportcards2014,Buy It Now,30349140,SMR Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$224.50,296533,6/8/2017,9.00,8,968,Sirius Sports Auctions,Sirius Sports Cards Auction # 187 - Ends 6/8/17,Auction,27286133,SMR Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$224.50,296533,5/17/2017,7.99,7,371929411625,eBay,surfcitycards,Buy It Now,26704305,SMR Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$224.50,296533,4/23/2017,12.10,9,352029898287,eBay,pwcc_auctions,Auction,81805965,SMR Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$224.50,296533,2/21/2017,5.85,8,381966168050,eBay,probstein123,Auction,26890348,SMR Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$224.50,296533,9/19/2016,10.50,9,401185797113,eBay,pwcc_auctions,Auction,26025871,SMR Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$224.50,296533,11/16/2012,10.13,8,220,Sirius Sports Auctions,Sirius Sports Cards Auction # 68,Auction,40275161,SMR Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$224.50,296533,8/18/2012,100.00,10,1040,"Memory Lane, Inc.",Historical Rarities,Auction,81556146,SMR Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$40.00,296533,8/29/2020,40.00,9,183777330146,eBay,nhcardguys,Best Offer,27888603,Most Recent Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$40.00,296533,7/23/2020,224.50,10,143654273496,eBay,pwcc_auctions,Auction,22595538,Most Recent Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$40.00,296533,6/29/2020,19.95,8,373030003637,eBay,dhcards,Best Offer,44871166,Most Recent Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$40.00,296533,5/31/2020,16.00,8,123826789445,eBay,mrcrx33,Buy It Now,03715098,Most Recent Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$40.00,296533,5/21/2020,191.39,10,402257334039,eBay,pwcc_auctions,Auction,22595538,Most Recent Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$40.00,296533,5/13/2020,26.99,8,163946944426,eBay,mrcrx33,Buy It Now,03715098,Most Recent Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$40.00,296533,4/13/2020,27.99,9,383460584374,eBay,4_sharp_corners,Best Offer,14948543,Most Recent Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$40.00,296533,2/24/2020,3.25,4.5,383426013511,eBay,probstein123,Auction,45311238,Most Recent Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$40.00,296533,12/30/2019,32.00,9,114024720057,eBay,bsatttu,Auction,19810382,Most Recent Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$40.00,296533,9/21/2019,5.61,8,254359960274,eBay,chuckw99,Auction,42509876,Most Recent Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$40.00,296533,6/25/2019,9.83,7,153533559863,eBay,ajcollectables2014,Auction,16551765,Most Recent Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$40.00,296533,4/10/2019,120.46,10,362608438046,eBay,probstein123,Auction,41531412,Most Recent Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$40.00,296533,3/13/2019,6.50,8,223433325428,eBay,tomdances,Auction,23352232,Most Recent Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$40.00,296533,2/20/2019,209.99,10,253043698701,eBay,graded_psa_cards,Buy It Now,27092363,Most Recent Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$40.00,296533,2/16/2019,26.00,9,113620319215,eBay,mintandcentered,Auction,41842106,Most Recent Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$40.00,296533,1/26/2019,9.99,8,113598342443,eBay,patr_cond,Auction,28446547,Most Recent Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$40.00,296533,8/30/2018,19.05,8,382549016147,eBay,probstein123,Auction,02347824,Most Recent Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$40.00,296533,7/2/2018,19.03,9,302784207875,eBay,nutzaboutcards,Auction,28711685,Most Recent Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$40.00,296533,6/29/2018,17.00,8,362367574510,eBay,tbh39,Best Offer,30043474,Most Recent Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$40.00,296533,4/22/2018,8.13,8,323210216078,eBay,stevietroy,Auction,24040658,Most Recent Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$40.00,296533,4/20/2018,33.00,9,362252792218,eBay,icaancards,Buy It Now,26025871,Most Recent Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$40.00,296533,3/21/2018,12.00,8,362227854085,eBay,bbcexchange,Buy It Now,20590716,Most Recent Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$40.00,296533,3/4/2018,17.98,8,362093661991,eBay,nwsportscards.com,Buy It Now,90426922,Most Recent Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$40.00,296533,2/18/2018,6.75,8,253420395580,eBay,trw1313,Auction,17698429,Most Recent Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$40.00,296533,1/27/2018,9.99,8,372200592082,eBay,crazykevster,Auction,28446547,Most Recent Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$40.00,296533,1/3/2018,3.25,8,362197747165,eBay,teri781,Auction,28425696,Most Recent Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$40.00,296533,12/4/2017,201.00,10,253212227886,eBay,sports-cards-forever,Best Offer,22595538,Most Recent Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$40.00,296533,10/6/2017,29.99,9,361939660623,eBay,4_sharp_corners,Buy It Now,11425942,Most Recent Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$40.00,296533,9/5/2017,2.60,8,253122987164,eBay,sports-cards-forever,Auction,24040658,Most Recent Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$40.00,296533,8/17/2017,25.00,8,272767333406,eBay,allmaddensportcards2014,Buy It Now,30349140,Most Recent Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$40.00,296533,6/8/2017,9.00,8,968,Sirius Sports Auctions,Sirius Sports Cards Auction # 187 - Ends 6/8/17,Auction,27286133,Most Recent Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$40.00,296533,5/17/2017,7.99,7,371929411625,eBay,surfcitycards,Buy It Now,26704305,Most Recent Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$40.00,296533,4/23/2017,12.10,9,352029898287,eBay,pwcc_auctions,Auction,81805965,Most Recent Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$40.00,296533,2/21/2017,5.85,8,381966168050,eBay,probstein123,Auction,26890348,Most Recent Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
topps,nba-basketball,$40.00,296533,9/19/2016,10.50,9,401185797113,eBay,pwcc_auctions,Auction,26025871,Most Recent Price,1971 Topps NBA Basketball #137 Champions,https://www.psacard.com/auctionprices/basketball-cards/1971-topps/nba-basketball/summary/296533,37,basketball_cards
